,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,Parsed,lemmas
25,'398745618753261568',1383874538.0,MahalKongIsko,No. I revoke my right to self incrimination  No ka dyan. Haha. #Napoles-zoned http://t.co/LAmxC6JTW9,en,,, Bayan Kong PILIPINAS,28800.0,Beijing,No. I revoke my right to self incrimination  No ka dyan. Haha. #Napoles-zoned http://t.co/LAmxC6JTW9,"['revoke', 'right', 'self', 'incrimination', 'dyan', 'haha', 'napoles', 'zone', 'http://t.co/lamxc6jtw9']"
26,'398745652105973760',1383874546.0,angryfruitPH,tanungin nyu si JANET LIM NAPOLES kng ANU SA TAGALOG ANG I DONT KNOW :DD,tl,,, Philippines,28800.0,Taipei,tanungin nyu si JANET LIM NAPOLES kng ANU SA TAGALOG ANG I DONT KNOW :DD,"['tanungin', 'nyu', 'janet', 'lim', 'napoles', 'kng', 'anu', 'tagalog', 'ang', 'dont', 'know']"
27,'398745658771144704',1383874548.0,bhoresdhie,"NAPOLES VS. YULANDA ..saan kayo papanig , the unbeatable couple ..hahahah :P",tl,,,cagayan de oro city,-32400.0,Alaska,"NAPOLES VS. YULANDA ..saan kayo papanig , the unbeatable couple ..hahahah :P","['napoles', 'yulanda', 'saan', 'kayo', 'papanig', 'unbeatable', 'couple', 'hahahah']"
28,'398745669822738432',1383874550.0,HanaRapanan,Iba't ibang ahensya ng gobyerno full alert na. E si Napoles? Hindi ko po alam#playingdumb,tl,,,,,,Iba't ibang ahensya ng gobyerno full alert na. E si Napoles? Hindi ko po alam#playingdumb,"[""iba't"", 'ibang', 'ahensya', 'gobyerno', 'alert', 'napoles', 'hindi', 'alam#playingdumb']"
29,'398745669856288769',1383874550.0,JBfatcheeks,@andrepicache24 @RecycleBince asawa ba to ni napoles??? :))))) hahahaha!,tl,,,MNL,28800.0,Beijing,@andrepicache24 @RecycleBince asawa ba to ni napoles??? :))))) hahahaha!,"['asawa', 'napole', 'hahahaha']"
30,'398745681889722368',1383874553.0,Hanneyyyy,"""@imjonlucas: Andiyan na si Yolanda!!! Im sure si Napoles ""Hindi niya alam"" :(""",tl,,,"Quezon City, Philippines",-32400.0,Alaska,"""@imjonlucas: Andiyan na si Yolanda!!! Im sure si Napoles ""Hindi niya alam"" :(""","['andiyan', 'yolanda', 'sure', 'napoles', 'hindi', 'niya', 'alam']"
31,'398745724013137920',1383874563.0,iammabie_727,"""Yung kagandahan mo parang sagot ni NapolesHINDI KO PO ALAM!""",tl,,,,28800.0,Beijing,"""Yung kagandahan mo parang sagot ni NapolesHINDI KO PO ALAM!""","['yung', 'kagandahan', 'parang', 'sagot', 'napoleshindi', 'alam']"
32,'398745738865147904',1383874567.0,sweetsirenadss,@itsmeBammm Di Daw ! Napoles ? '' Di ko Alam ? '' Hahaha !,tl,,,"Cabanatuan City , Nueva Ecija",-25200.0,Arizona,@itsmeBammm Di Daw ! Napoles ? '' Di ko Alam ? '' Hahaha !,"['daw', 'napole', 'alam', 'hahaha']"
33,'398745746070978560',1383874568.0,Droox,panira daw ng araw si Yolanda pano pa kaya si #Napoles #hindikoalam #invokemomukhamo,tl,,,philippines,28800.0,Hong Kong,panira daw ng araw si Yolanda pano pa kaya si #Napoles #hindikoalam #invokemomukhamo,"['panira', 'daw', 'araw', 'yolanda', 'pano', 'kaya', 'napoles', 'hindikoalam', 'invokemomukhamo']"
34,'398745749615169537',1383874569.0,sanchezroy916,@manila_bulletin  sa city jail dapat ikulong si janet napoles ng maramdaman ang kahirapan at pagsisihan ang kasalanan nagawa nya,tl,,,,,,@manila_bulletin  sa city jail dapat ikulong si janet napoles ng maramdaman ang kahirapan at pagsisihan ang kasalanan nagawa nya,"['city', 'jail', 'dapat', 'ikulong', 'janet', 'napole', 'maramdaman', 'ang', 'kahirapan', 'pagsisihan', 'ang', 'kasalanan', 'nagawa', 'nya']"
35,'398745757450121216',1383874571.0,lorenzomarvin,Mahirap daw kapag ka-lane sa Dota si Napoles. Galing daw kasing magdeny. Hehe.,tl,,,,28800.0,Hong Kong,Mahirap daw kapag ka-lane sa Dota si Napoles. Galing daw kasing magdeny. Hehe.,"['mahirap', 'daw', 'kapag', 'lane', 'dota', 'napoles', 'gal', 'daw', 'kas', 'magdeny', 'hehe']"
36,'398745760105111552',1383874572.0,KapitanKookoNUT,Mrs. Janet Lim Napoles. Di ba di mo alam lahat. Halika dito. Tutal di mo alam na may bagyo. Lulunurin kita sa baha.,tl,,,,28800.0,Beijing,Mrs. Janet Lim Napoles. Di ba di mo alam lahat. Halika dito. Tutal di mo alam na may bagyo. Lulunurin kita sa baha.,"['mrs.', 'janet', 'lim', 'napoles', 'alam', 'lahat', 'halika', 'dito', 'tutal', 'alam', 'bagyo', 'lulunurin', 'kita', 'baha']"
37,'398745779948359680',1383874576.0,iamerinrosales,"@BagyongYoIanda Si Napoles nlang ang bagyuhin mo, pls? :D",tl,,,"Philippines  Paris,France",-32400.0,Alaska,"@BagyongYoIanda Si Napoles nlang ang bagyuhin mo, pls? :D","['napoles', 'nlang', 'ang', 'bagyuhin', 'pls']"
38,'398745788764786688',1383874579.0,LengEmgie101,Kaloka! watching full Napoles Hearing.. 1st part Hindi po totoo un..Hindi ko po alam..hahaha,tl,,,,28800.0,Hong Kong,Kaloka! watching full Napoles Hearing.. 1st part Hindi po totoo un..Hindi ko po alam..hahaha,"['kaloka', 'watch', 'napoles', 'hear', '1st', 'hindi', 'totoo', 'hindi', 'alam', 'hahaha']"
39,'398745813003685888',1383874584.0,ClaireAnnFabian,"Ikaw, Na-Napoles ka na ba?",tl,,,// MNL,-25200.0,Arizona,"Ikaw, Na-Napoles ka na ba?","['ikaw', 'napoles']"
40,'398745825930510336',1383874587.0,CKALatiza,Yolanda is Janet Napoles' sister! #PrayforthePhilippines,en,,,Quezon City,-28800.0,Pacific Time (US & Canada),Yolanda is Janet Napoles' sister! #PrayforthePhilippines,"['yolanda', 'janet', 'napoles', 'sister', 'prayforthephilippine']"
41,'398745832582701057',1383874589.0,angryfruitPH,"wat if kng smale si #JANET LIM NAPOLES sa gameshow at beauty pageant, nu isasagot nya sa tanong ng host, emcee at ng judge..?  HMMM",tl,,, Philippines,28800.0,Taipei,"wat if kng smale si #JANET LIM NAPOLES sa gameshow at beauty pageant, nu isasagot nya sa tanong ng host, emcee at ng judge..?  HMMM","['wat', 'kng', 'smale', 'janet', 'lim', 'napoles', 'gameshow', 'beauty', 'pageant', 'isasagot', 'nya', 'tanong', 'host', 'emcee', 'judge', 'hmmm']"
42,'398745833257971712',1383874589.0,MarcoLaparan,Napoles Kaba ? :)),et,,,tomas-saco 1st CDO,32400.0,Tokyo,Napoles Kaba ? :)),"['napole', 'kaba']"
43,'398745841760231424',1383874591.0,DJzheth,@deeeyll awh! Nasaby kay Napoles. Huehue.,tl,,,,,,@deeeyll awh! Nasaby kay Napoles. Huehue.,"['awh', 'nasaby', 'kay', 'napoles', 'huehue']"
44,'398745855647178753',1383874594.0,princesnunez,"""@chyngchanzoo: ANDIYAN NA SI YOLANDA!! PERO I'M SURE SI NAPOLES, ""HINDI NIYA ALAM"". "" hahahahahahaha",tl,,,Philippines,-28800.0,Pacific Time (US & Canada),"""@chyngchanzoo: ANDIYAN NA SI YOLANDA!! PERO I'M SURE SI NAPOLES, ""HINDI NIYA ALAM"". "" hahahahahahaha","['andiyan', 'yolanda', 'pero', ""i'm"", 'sure', 'napoles', 'hindi', 'niya', 'alam', 'hahahahahahaha']"
45,'398745889876885504',1383874603.0,JaylloidLabsyoo,"Porkbarrel Scam , Earthquake , #YolandaPH #PrayForThePhilippines PRAYER is Always Waterproof ;-)",en,,,"ManiLa ,Phillipines ",28800.0,Beijing,"Porkbarrel Scam , Earthquake , #YolandaPH #PrayForThePhilippines PRAYER is Always Waterproof ;-)","['porkbarrel', 'scam', 'earthquake', 'yolandaph', 'prayforthephilippines', 'prayer', 'waterproof']"
46,'398745951600267264',1383874617.0,KhateAmagna,Dapat kay Napoles pinapa Lie detector test eh.,tl,,,,-25200.0,Arizona,Dapat kay Napoles pinapa Lie detector test eh.,"['dapat', 'kay', 'napoles', 'pinapa', 'lie', 'detector', 'test']"
47,'398745962077622273',1383874620.0,normanlizza,""" Lets transfer Napoles to a regular jail already.  It's clear she will not cooperate to get this case moving anyway.""",en,,,Cebu,,,""" Lets transfer Napoles to a regular jail already.  It's clear she will not cooperate to get this case moving anyway.""","['let', 'transfer', 'napoles', 'regular', 'jail', 'clear', 'cooperate', 'case', 'move']"
48,'398745991475499008',1383874627.0,KinFranco,@SantosJessuuuuh Di ko po alam. Chos! #Napoles hahaha,tl,,,,28800.0,Beijing,@SantosJessuuuuh Di ko po alam. Chos! #Napoles hahaha,"['alam', 'chos', 'napole', 'hahaha']"
49,'398745998161235968',1383874628.0,dollianneMO,@vivibeeey grabeh dre !! 5years yun :) si napoles ka ba ? HAHA,tl,,,"Quezon City, Philippines",-32400.0,Alaska,@vivibeeey grabeh dre !! 5years yun :) si napoles ka ba ? HAHA,"['grabeh', 'dre', '5year', 'yun', 'napole', 'haha']"
50,'398746014879731712',1383874632.0,ohsybabe,"Gusto ko mapanuod ng buo yung Senate hearing ni Napoles. (tapos ""popcorn, please"")",tl,,,"Half-blood Hill, LongIsland NY",28800.0,Taipei,"Gusto ko mapanuod ng buo yung Senate hearing ni Napoles. (tapos ""popcorn, please"")","['gusto', 'mapanuod', 'buo', 'yung', 'senate', 'hear', 'napoles', 'tapos', 'popcorn']"
51,'398746027076747264',1383874635.0,19Nickzy,"""NAPOLES-ZONED"" Boy: Mahal mo ba ako? G: Hindi ko alam Boy: Bakit di mo alam?Girl: I invoke my right against self incrimination.",tl,,,Batangas City,-25200.0,Arizona,"""NAPOLES-ZONED"" Boy: Mahal mo ba ako? G: Hindi ko alam Boy: Bakit di mo alam?Girl: I invoke my right against self incrimination.","['napoles', 'zoned', 'boy', 'mahal', 'ako', 'hindi', 'alam', 'boy', 'bakit', 'alam?girl', 'invoke', 'right', 'self', 'incrimination']"
52,'398746030084481024',1383874636.0,NGANGAdii,Yung ilong ni napoles lumalaki!!!Halatang nagsisinungaling!,tl,,,,-28800.0,Pacific Time (US & Canada),Yung ilong ni napoles lumalaki!!!Halatang nagsisinungaling!,"['yung', 'ilong', 'napole', 'lumalaki!!!halatang', 'nagsisinungal']"
53,'398746042293690368',1383874639.0,allysongem_,"@AyyyGrabe : Napoles Facial Cream http://t.co/BWjmBfo5Ly""WTF? HAHAHHAA""",it,,,PHL,28800.0,Taipei,"@AyyyGrabe : Napoles Facial Cream http://t.co/BWjmBfo5Ly""WTF? HAHAHHAA""","['napoles', 'facial', 'cream', 'http://t.co/bwjmbfo5ly""wtf', 'hahahhaa']"
54,'398746076821204992',1383874647.0,Gigeyyy,"Si totoy biglang sabi ""Si Napoles nanay na nagnanakaw pa"" bata yon 5 yr/old.",tl,,,Tagaytay City,-16200.0,Caracas,"Si totoy biglang sabi ""Si Napoles nanay na nagnanakaw pa"" bata yon 5 yr/old.","['totoy', 'biglang', 'sabi', 'napoles', 'nanay', 'nagnanakaw', 'bata', 'yon', 'old']"
55,'398746082017939456',1383874648.0,AnthonyrayD,Pwede bang mag landfall si yolanda sa kulungan ni napoles???,tl,,,manila,-28800.0,Pacific Time (US & Canada),Pwede bang mag landfall si yolanda sa kulungan ni napoles???,"['pwede', 'bang', 'mag', 'landfall', 'yolanda', 'kulungan', 'napole']"
56,'398746100338679808',1383874653.0,JVMiro_11,i alay daw si napoles para mawala ang typhoon hahahaha,tl,,,"Davao City, Philippines",-32400.0,Alaska,i alay daw si napoles para mawala ang typhoon hahahaha,"['alay', 'daw', 'napole', 'para', 'mawala', 'ang', 'typhoon', 'hahahaha']"
57,'398746099776643074',1383874653.0,LenetteLupac,@EuvicBOSS Nanakawan nga ata ako ng height ni napoles :(((( Hahahaha,tl,,,,,,@EuvicBOSS Nanakawan nga ata ako ng height ni napoles :(((( Hahahaha,"['nanakawan', 'nga', 'ata', 'ako', 'height', 'napole', 'hahahaha']"
58,'398746118181253121',1383874657.0,Lyceloveee,Dinaig mo pa si Napoles sa kakapalan ng mukha mo. :),tl,,,"Malabon City, Philippines",28800.0,Singapore,Dinaig mo pa si Napoles sa kakapalan ng mukha mo. :),"['dinaig', 'napoles', 'kakapalan', 'mukha']"
59,'398746130231468032',1383874660.0,RobiAlcantara,Natakpan yung Napoles dahil sa bagyo.,tl,,,Manila,28800.0,Hong Kong,Natakpan yung Napoles dahil sa bagyo.,"['natakpan', 'yung', 'napoles', 'dahil', 'bagyo']"
60,'398746136724246528',1383874662.0,eejay15,"Yolanda, handa naming ialay si Napoles umalis ka lang. :D #PrayForThePhilippines",tl,,,davao city,-28800.0,Pacific Time (US & Canada),"Yolanda, handa naming ialay si Napoles umalis ka lang. :D #PrayForThePhilippines","['yolanda', 'handa', 'name', 'ialay', 'napoles', 'umalis', 'lang', 'prayforthephilippine']"
61,'398746157108572160',1383874666.0,michaeldayanan,#24oras dapat magsalita si napoles ng walang notebook !,tl,,,"america,philippines",-32400.0,Alaska,#24oras dapat magsalita si napoles ng walang notebook !,"['24oras', 'dapat', 'magsalita', 'napole', 'walang', 'notebook']"
62,'398746156487831552',1383874666.0,_keylaaaaaa,@saaampontines  Napoles II HAHAIremake mo na yung My Amnesia Girl,tl,,,somewhere in UK :),28800.0,Beijing,@saaampontines  Napoles II HAHAIremake mo na yung My Amnesia Girl,"['napoles', 'hahairemake', 'yung', 'amnesia', 'girl']"
63,'398746154470350848',1383874666.0,jdlnfigarola,mamaya ko nalang panoorin ung kay napoles,tl,,,PHL,-28800.0,Pacific Time (US & Canada),mamaya ko nalang panoorin ung kay napoles,"['mamaya', 'nalang', 'panoorin', 'ung', 'kay', 'napoles']"
64,'398746166394769408',1383874669.0,kerokeropeee,tsk tsk tsk nga naman....Sen. Miriam oh!!! #senatordrilon #sleepingsenator #napoles #senatehearing http://t.co/RRXEYI7Yn7,tl,,,,,,tsk tsk tsk nga naman....Sen. Miriam oh!!! #senatordrilon #sleepingsenator #napoles #senatehearing http://t.co/RRXEYI7Yn7,"['tsk', 'tsk', 'tsk', 'nga', 'naman', 'sen', 'miriam', 'senatordrilon', 'sleepingsenator', 'napole', 'senatehear', 'http://t.co/rrxeyi7yn7']"
65,'398746218823573504',1383874681.0,fathima98,Mama: bakit lumabo yung tv.Ako: di ko alamMama: nandyan na ba sila?Ako: di ko alam.Mama: Napoles ka na rin ha! XD,tl,,,"Bulacan, Philippines",28800.0,Beijing,Mama: bakit lumabo yung tv.Ako: di ko alamMama: nandyan na ba sila?Ako: di ko alam.Mama: Napoles ka na rin ha! XD,"['mama', 'bakit', 'lumabo', 'yung', 'ako', 'alammama', 'nandyan', 'sila?ako', 'alam', 'mama', 'napole', 'rin']"
66,'398746233805606913',1383874685.0,hedelcruz,Yolanda di mo kami matitinag. Mas malakas pa at makapal ang mukha ni Napoles kesa sayo. Tingin mo aatrasan ka namin? #YolandaPH,tl,,,Philippines,28800.0,Hong Kong,Yolanda di mo kami matitinag. Mas malakas pa at makapal ang mukha ni Napoles kesa sayo. Tingin mo aatrasan ka namin? #YolandaPH,"['yolanda', 'kami', 'matitinag', 'mas', 'malakas', 'makapal', 'ang', 'mukha', 'napoles', 'kesa', 'sayo', 'tingin', 'aatrasan', 'namin', 'yolandaph']"
67,'398746248796061697',1383874688.0,pamelamary_,"""@DonyaInaLabyuuu: Anak. Alam kaya ni Napoles na andito na sa Pilipinas si Yolanda? Paki-explain! Labyu!""",tl,,,Philippines,28800.0,Beijing,"""@DonyaInaLabyuuu: Anak. Alam kaya ni Napoles na andito na sa Pilipinas si Yolanda? Paki-explain! Labyu!""","['anak', 'alam', 'kaya', 'napoles', 'andito', 'pilipinas', 'yolanda', 'paki', 'explain', 'labyu']"
68,'398746248607305728',1383874688.0,ILoveLawrenceG,"""@Senyora: Kung pwede lang i-alay si Napoles para lumihis ang bagyo eh"" LOL",tl,,,THE PHILIPPINES ,28800.0,Singapore,"""@Senyora: Kung pwede lang i-alay si Napoles para lumihis ang bagyo eh"" LOL","['kung', 'pwede', 'lang', 'alay', 'napoles', 'para', 'lumihis', 'ang', 'bagyo', 'lol']"
69,'398746247860723712',1383874688.0,jahjahgarcia,"Wala ung kapitbahay namin, nasa hearing daw hahah. Kamukha talaga ni napoles xD",tl,,,Nibiru,28800.0,Hong Kong,"Wala ung kapitbahay namin, nasa hearing daw hahah. Kamukha talaga ni napoles xD","['wala', 'ung', 'kapitbahay', 'namin', 'nasa', 'hearing', 'daw', 'hahah', 'kamukha', 'talaga', 'napole']"
70,'398746255003619328',1383874690.0,jeric_dizon,"""@phaaamGuiao: Yung kagandahan mo parang sagot ni NapolesHINDI KO PO ALAM!"" naks",tl,,,anao mexico pampanga,-25200.0,Arizona,"""@phaaamGuiao: Yung kagandahan mo parang sagot ni NapolesHINDI KO PO ALAM!"" naks","['yung', 'kagandahan', 'parang', 'sagot', 'napoleshindi', 'alam', 'nak']"
71,'398746267993374720',1383874693.0,SeanJan18,Hindi na talaga kailangan ni Napoles ng madaming Senador. Eh si Miriam pa lang e. Napapaamin na si Napoles.,tl,,,"Manila,Philippines ",,,Hindi na talaga kailangan ni Napoles ng madaming Senador. Eh si Miriam pa lang e. Napapaamin na si Napoles.,"['hindi', 'talaga', 'kailangan', 'napoles', 'madam', 'senador', 'miriam', 'lang', 'napapaamin', 'napoles']"
