text,created_at,user,user utc offset,language,lat,id,user time zone,lng,user location
"""@noivcalderon: Let us pray that the super typhoon will not even enter the PAR, in the Mighty Name of Jesus. Amen.""",1383720290.0,avy_lin,"Dasma,Cavite",en,,'398098655963410432',,,
"Philippines on high alert, braces for Typhoon Haiyan http://t.co/Siveoq1F3r",1383720290.0,N_H_Asia,,en,,'398098654822957056',Athens,,7200
"@IcaGat Hello, it's a typhoon and it seems like they think it's a joke",1383720290.0,GabbYulo,Philippines,en,,'398098656605130752',Singapore,,28800
"Yolanda, let me just tell you that you are not welcome in the Philippines",1383720290.0,gyrald,"Manila, Philippines",en,,'398098655397171201',Hong Kong,,28800
Nervous for all the areas that will be affected by the Supertyphoon Yolanda. :-(,1383720291.0,fatmeys,,en,,'398098658521931776',Hong Kong,,28800
Category 5+ Typhoon #Haiyan is supposed to hit Philippines in the next 24-48 hours. Peak winds of 160mph.Stay safe! http://t.co/tWMLxczAiH,1383720297.0,itsmeggroll,"Virginia/Washington, DC",en,,'398098685281976320',Quito,,-18000
"Please Father God, embrace us with your love and protect us to whatever will happen and please #YolandaPH, don't be too harsh to us.",1383720297.0,knownasbrian74,,en,,'398098684757278720',Beijing,,28800
Yolanda is coming. Its starting to rain!,1383720299.0,nnsnts,,en,,'398098692646772736',Hong Kong,,28800
"""@paulalaley: 445 online friends, I bet you guys are up for the typhoon's update? lol""",1383720300.0,FelisseNavidad,Echoes from the Past,en,,'398098697986121728',Pacific Time (US & Canada),,-28800
I hope that the super typhoon will not inflict casualties and damages. #YolandaPH,1383720304.0,Ninz55,PilipiNASH,en,,'398098713337294848',Singapore,,28800
"Okay, I'll go home tomorrow. Everyone's being disturbed by Yolanda.",1383720307.0,brenicillin,Philippines,en,,'398098724955496448',Alaska,,-32400
We have incoming bad weather its a super typhoon yolanda..so be ready and be prepare everyone..and also be safe;(,1383720312.0,Rosejoven27,,en,,'398098749190201345',,,
"Media, oversensationalizing the supertyphoon. What's new? Pff.",1383720312.0,iamtheblurr,Philippines,en,,'398098748233904128',Singapore,,28800
"Please Father God, embrace us with your love and protect us to whatever will happen. #YolandaPH, please don't be too harsh on us",1383720314.0,jasminemanejero,Land of the Free,en,,'398098754957352960',Alaska,,-32400
i can feel #Yolanda's presence,1383720314.0,_itzbmnlg,Las Pias City,en,,'398098756052074496',Hong Kong,,28800
@ANCALERTS: PAGASA: Some areas may experience signal # 4 http://t.co/TERygZOWoe #YolandaPH,1383720316.0,John23VC,"Angono Rizal, Philippines",en,,'398098762964279296',Hong Kong,,28800
Just now screen shot Monitoring weather on my phone :) #YolandaPH #SuperTyphoon #ProjectNoa http://t.co/OQjCKVj7q3,1383720318.0,rumelbermejo,N 1221' 0'' / E 1214' 0'',en,,'398098774138310656',Beijing,,28800
We're having an advance victory party for Yolanda's death.,1383720319.0,Lovebadthan,Davao City,en,,'398098778646781952',Alaska,,-32400
"Bagyong Yolanda is coming. Perfect time to say ""please be good to me""",1383720323.0,kookslopez,,en,,'398098795214290945',,,
@AdmirinJBieber Tae dayy !! HAHA YOLANDA please ?? Tomorrow only :),1383720325.0,CaliroseO,Tacloban | Paris,en,,'398098802038431744',Arizona,,-25200
"MANILA, Philippines  Attention, residents of areas threatened by a typhoon.  You may find these survival tips... http://t.co/9gFYO4TZDa",1383720326.0,TXTFIRE,"Philippines, Earth",en,,'398098805909778432',Perth,,28800
"""@lancedeocampo: Typhoon Yolanda, have mercy tomorrow. Amen. """,1383720327.0,BARREDOnicole,,en,,'398098812842942465',Pacific Time (US & Canada),,-28800
"As #YolandaPH nears PAR, let's all unite to pray for the safety of the whole country. We had enough. We wish that our country be spared.",1383720330.0,UAAP76,Philippines,en,,'398098825304215553',,,
learning how to fish in preparation for the super typhoon we're expecting this week. @ Taoist Temple http://t.co/bc6zUWsSWZ,1383720331.0,JCh0w,NJ,en,10.33401994,'398098829004009472',Eastern Time (US & Canada),123.88808763,-18000
They are all in a state of panic buying at grocery stores in preparation for the super typhoon. While I only got my ciggies in my pocket.,1383720331.0,PrinzHannafi,Republic of the Philippines,en,,'398098826050801666',Alaska,,-32400
"@lancedeocampo: Typhoon Yolanda, have mercy tomorrow. Amen. ",1383720335.0,_AWESOMEbrado,"MNL, Philippines",en,,'398098842530246656',Hong Kong,,28800
get ready  for tommorowSuper Typhoon Yolanda ...stay safe,1383720336.0,cybernex92,,en,,'398098847085252608',,,
"Typhoon Yolanda pls don't ,",1383720337.0,JustElmox,Panama,en,,'398098851095003136',Hong Kong,,28800
Latest Philippine typhoon Yolanda tracking update..... http://t.co/srynRVHtsN,1383720337.0,MFNWebMaster,United States,en,,'398098853930352640',Pacific Time (US & Canada),,-28800
RT @inquirerdotnet: Local execs in path of supertyphoon told to activate disaster management... http://t.co/zpbJPI2d6r #news #philippines,1383720338.0,rmpilar,Philippines,en,,'398098857344503809',Singapore,,28800
A supertyphoon is coming! Tsk. Keep safe everyone!,1383720339.0,itsmealarcon,Pasay city,en,,'398098861475901440',,,
Lakas Ulan :( Is this the Super Typhoon?  Stay Safe Everyone! :),1383720346.0,NikkiMaws,Republic of the Philippines,en,,'398098890106224640',Pacific Time (US & Canada),,-28800
Super Typhoon Haiyan becomes the fifth Category 5 storm worldwide this year near Palau - Update #3 online now at http://t.co/3XiwjKnlL1,1383720347.0,ForceThirteen,"Manchester, United Kingdom",en,,'398098896301195264',Amsterdam,,3600
Not really to over react but this super typhoon coming must be taken seriously.,1383720349.0,demetrIIIo,,en,,'398098901493747713',Singapore,,28800
What our rest of the week would look like. RT @ABSCBNNews: Super typhoon Yolanda stronger than Pablo: US military http://t.co/aevnIJf0Dt,1383720349.0,Aericangelo,Manila,en,,'398098902479425536',Hong Kong,,28800
sending out prayers for everyone in PH. Keep safe and dry. #YolandaPH,1383720354.0,AicahLin_7,@Rack City,en,13.78720255,'398098922939228160',Bangkok,100.60684509,25200
"""Almighty and Loving Father, we fervently ask Your Divine and Infinite Mercy to TAKE CONTROL of the rain and super typhoon YOLANDA",1383720354.0,KenlyMagbanua,,en,,'398098923287355392',Beijing,,28800
Philippines Braces for Super Typhoon,1383720356.0,Vinnjaviniar,"Mnl, Ph  ",en,,'398098932430950400',Beijing,,28800
Stay safe Guys #YolandaPH,1383720358.0,natobata18,,en,,'398098939087290369',Alaska,,-32400
It's starting to rain ... #SuperTyphoon,1383720360.0,Liiaaannggg,Philippines,en,,'398098947501092864',Pacific Time (US & Canada),,-28800
"Seems that the Super Typhoon has reached the Philippine Area of Responsibility. Take care, everyone.",1383720360.0,YOUtachiDesu,Philippines,en,,'398098948822286336',,,
Powerful super typhoon heading for the Philippines - Channel 4 News (blog) http://t.co/j7dD3lSMwA,1383720361.0,iamericjames,CLICK HERE --,en,,'398098953113071616',Beijing,,28800
Typhoon in this month? Green house effect is kicking in indeed,1383720363.0,Aeronic03,Mystic Falls,en,14.44101151,'398098963271671809',Perth,120.97993262,28800
Be vigilant. Be alert as to what authorities will impose to your neighborhood. Evacuate immediately if the need arises. #YolandaPH,1383720363.0,UAAP76,Philippines,en,,'398098961048682497',,,
"""@lancedeocampo: Typhoon Yolanda, have mercy tomorrow. Amen. """,1383720364.0,_marianbarrio,@kimpoyfeliciano's ,en,,'398098967277223936',Pacific Time (US & Canada),,-28800
List of Municipalities to be affected by 60-100 mm 3-hour accumulated rainfall http://t.co/Q0zDlxrAcC #YolandaPH,1383720367.0,jmreyes816,"Pasig City, Philippines",en,,'398098979017064448',Taipei,,28800
Keep safe everyone! #YolandaPH,1383720368.0,vanetha27,"Baybay City, Leyte",en,,'398098983434080256',,,
Supertyphoon nears PH http://t.co/ukkJU2tk4T,1383720369.0,khezho11,Philippines,en,,'398098986512699393',Beijing,,28800
Typhoon Yolanda :( #pray,1383720370.0,heyzyphyrkyhts,"Paris, France",en,,'398098993072185344',Arizona,,-25200
"Philippines on high alert, braces for Typhoon Haiyan http://t.co/3YxWJqu0rg",1383720371.0,eikawaz,,en,,'398098996649922560',Eastern Time (US & Canada),,-18000
"Philippines on high alert, braces for Typhoon Haiyan http://t.co/cVOc15OMVS",1383720375.0,eikawaz,,en,,'398099011342585856',Eastern Time (US & Canada),,-18000
"Tomorrow Thursday &amp; Friday, so-called ""super typhoon"" coming here #Philippines, possibly Signal No. 4? Be careful &amp; ready. RT",1383720380.0,WilsonLeeFlores,"Metro Manila, Philippines",en,,'398099034981662720',Hong Kong,,28800
"Ano ba!!!???? Wala pang bagyo brownout na!??? This reminds me, tomorrow I should buy candles and another emergency light.",1383720384.0,jotlovestoeat,,en,,'398099049858875392',Alaska,,-32400
Oh no..Please don't let it rain! #Haiyan  #yolanda #whatever,1383720385.0,mague_l,philippines,en,,'398099054522937345',,,
"@SsecretJieunn [] Its done. But the place where quake strikes, will be the place where typhoon strikes. &lt;/3",1383720387.0,OR_Bang,Babys and Himchan's Heart.,en,,'398099062689259520',,,
"If the typhoon persists, I don't know if I will be able to go to LDP :\",1383720387.0,errikuhh,MNL,en,,'398099063645552640',Hong Kong,,28800
This might be the strongest typhoon of the year omg,1383720387.0,beatolentino_,MNL // Starbucks,en,,'398099061577764864',Beijing,,28800
Super typhoon will hit our shores tomorrow. Hoping everything will be alright and I'm still hoping that the storm will not be able to go in,1383720388.0,demisnighthawk,Arendelle ,en,,'398099066090835968',Alaska,,-32400
not planning to sleep tonight bc scared of the typhoon oh god,1383720388.0,fluffyzayns,"eeske, salsa, row, mylja",en,,'398099067265245184',Pacific Time (US & Canada),,-28800
Keep safe everyone! #YolandaPH,1383720388.0,Maureenieeee,,en,,'398099067005173760',Beijing,,28800
DOTC on full alert for 'Yolanda' http://t.co/xy31o9QCB9 #YolandaPH,1383720389.0,ANCALERTS,Philippines,en,,'398099071165931520',Singapore,,28800
"Dear God, protect us from the super typhoon. Let no harm come upon us and the people we love. Pray for our country. RT",1383720391.0,SirMayIGoOut,BB: 2A1D6F71,en,,'398099078363361280',Singapore,,28800
"Govt braces as supertyphoon may raise Signal No. 4 in Bicol, Visayas http://t.co/cLY66eSDqH",1383720395.0,k_mor15,,en,,'398099095828430848',Beijing,,28800
because there's bagyo coming daw :3,1383720399.0,kayeandrea_,LA / Philippines,en,,'398099112790208512',Alaska,,-32400
Here comes the Yolanda :&gt;,1383720399.0,TheRuthCapulong,England,en,,'398099112874098690',Hong Kong,,28800
"Super typhoon yolanda's coming.. stay safe, alert and dry guyssss.. ",1383720399.0,XtianSo,,en,,'398099114031726593',Alaska,,-32400
Storm Prayer Brigade:  Spare us Lord from the threat of typhoon YOLANDA. We lift our safety unto your loving arms... http://t.co/QMSKfzdoDc,1383720404.0,RenovaHaus,"Manila,Philippines",en,,'398099133732749312',Hong Kong,,28800
Feeling the cold air and hearing the rain from afar. Eto na #YolandaPH,1383720405.0,secretsandLISE,"iPhone: 0.000000,0.000000",en,,'398099137188478977',Alaska,,-32400
Wait for it .. She's gonna bloooww! #pray #keepsafe #YolandaPH #Yoly,1383720410.0,arcespinosa,"Mandaue City, Cebu",en,,'398099159162441728',Beijing,,28800
"""@kookslopez: Bagyong Yolanda is coming. Perfect time to say ""please be good to me""""HAHAHA! LOL",1383720411.0,hannahCS17,Republic of the Philippines :),en,,'398099162362695680',Arizona,,-25200
#YolandaPH please be advised http://t.co/pLavdrRYnq,1383720412.0,AshBulldogLagon,Davao City,en,,'398099167295188993',Kuala Lumpur,,28800
Video update of Typhoon Haiyan ( Yolanda ). Stay safe! http://t.co/nAt6wjQwPq,1383720415.0,Dumagueteneo,Philippines,en,,'398099180528603136',Beijing,,28800
It's the calm before the storm. Yolanda is biding her time &amp; getting ready to strike. We better be ready when she does! #keepcalm&amp;eatbanana,1383720422.0,duhfairyprince,cebu city,en,,'398099209905139712',Beijing,,28800
Yolanda is comming.,1383720422.0,jimmsss,Manila ,en,,'398099208646836224',Singapore,,28800
Always stay safe guys. There's a super typhoon coming. God bless! #pray,1383720425.0,Labyrinth_101,Anywhere but there,en,,'398099221020028928',Alaska,,-32400
@lemuelurieta @legendaani  di ko talaga alam if i should still go. Typhoon daw  scary af,1383720425.0,toneehee,"Building a Lego House, BRB",en,,'398099222320254976',Hong Kong,,28800
"I am not even weather-conscious. :| I hope the typhoon is fast, so it gets out of the country sooner.",1383720426.0,YOUtachiDesu,Philippines,en,,'398099225218539521',,,
#YolandaPH please be kind ,1383720427.0,dimmehh,Republic of the Philippines,en,,'398099232088805376',,,
God is good all the time. #YolandaPH,1383720427.0,iamzetroc,"Macabebe, Pampanga, PH",en,,'398099229094068224',Alaska,,-32400
Yolanda is coming . .OK where are you FOOOOOOODDDDDDDDSSSSSSSSSSSSSS#pray,1383720429.0,reynbowver,Living in the FRIDGE,en,,'398099239001395200',Beijing,,28800
"GMA Weather: Albay gov't braces for super typhoon Haiyan, classes suspendedAlbay gov't braces for super typhoon... http://t.co/7NKJkBV3zv",1383720435.0,PanahonNgayon,Philippines,en,,'398099262451744770',,,
Heads up for the Super typhoon possibly hitting on Friday afternoon. Reports say Signal 1 in NCR but stay safe still!,1383720440.0,1JGSOM,,en,,'398099283204767746',Beijing,,28800
Aww &lt;//3  I can Feel YOLANDA na :'( #PrayPrayPray,1383720444.0,Sheyning,"Cavite , Philippines",en,14.3062332,'398099302494384128',Arizona,121.0243911,-25200
so there's a typhoon tomorrow? what the?,1383720445.0,pretentiousmole,Philippines ,en,,'398099307489796096',Casablanca,,0
.@enjoyGLOBE @talk2GLOBE Please make sure that your signal will work in samar &amp; places that #yolandaPH will affect. We will rely on you :),1383720445.0,keekolopez,Philippines,en,,'398099307615629312',Beijing,,28800
Be safe everyone. Yolanda pls don't bring so much harm. :(,1383720447.0,Chandyllovesky,Philippines,en,,'398099313009508352',Quito,,-18000
@wayne_kyle26 imma worried for Ze super typhoon earlier but Ze hug took away all my stress... #stilltryingtomoveon,1383720447.0,Abbygo_YH14,"Cebu,Philippines",en,,'398099313835773952',Alaska,,-32400
@WhatsUpLASALLE Aren't La Salle gonna cancel the classes for tomorrow due to the super typhoon yolanda?,1383720448.0,Jeuelicious,"BCD, Philippines",en,,'398099319762350082',Alaska,,-32400
Great Yolanda locked the car .,1383720449.0,fuckitscamillaa,"Dallas, TX.",en,,'398099324715806720',Eastern Time (US & Canada),,-18000
Please pray for the people of the Philippines. There is a supertyphoon heading to their country.,1383720452.0,Luiscartoonist,http://saysluis.tumblr.com,en,,'398099335591653377',Central Time (US & Canada),,-21600
http://t.co/gBxk9mwded: Super typhoon Yolanda stronger than Pablo: US military http://t.co/CZh6cn7oe9 via @ABSCBNNews,1383720454.0,elektra_george,"Cebu City, Phils",en,,'398099342126370816',Hong Kong,,28800
#Typhoon S/O @ #Desctv met #Gentsefeesten 2013 HD: http://t.co/JoaY08zZry via Desctv,1383720455.0,DeScTv,Belgie,en,,'398099346597502976',Amsterdam,,3600
yolanda pls go away,1383720455.0,_mmkaxx,,en,,'398099349126643713',Hong Kong,,28800
Be safe everyone... #YolandaPH,1383720455.0,hearandaveil13,,en,,'398099348631724033',,,
Yolanda i'll wait for you,1383720456.0,DEESWIEcable_me,NIKKO DEREQUITO'S  ,en,,'398099350376550400',Beijing,,28800
@ABSCBNChannel2: Super Typhoon #YolandaPH storm track. #pray #BeSafePhilippines http://t.co/ITfXDv4Eq5 we'll get thru this.,1383720457.0,Caseyzamco,,en,,'398099357578170368',Singapore,,28800
i have this feeling. (Joke! Padeep lang.) Exaggerated ata misyadow yung Yolanda.,1383720462.0,NurseDoc_Mau21,,en,,'398099376318328832',Bangkok,,25200
"RT @SirMayIGoOut: Dear God, protect us from the super typhoon. Let no harm come upon us and the people we love. Pray for our country. RT",1383720462.0,kitkarl,"Quezon City , Philippines",en,,'398099376037298177',Pacific Time (US & Canada),,-28800
"Due to typhoon Yolanda, our FREE Zumba this Friday, Nov. 8, 2013 will be suspended. Be safe everyone! See you next Friday!",1383720465.0,InsularSquare,,en,,'398099391292395520',Beijing,,28800
"[NEWS] Pagasa: 225 kph winds of 'Yolanda' similar to force of Pablo, Ruping - http://t.co/qppyBfaJ7h http://t.co/LCQzAYAs0f via Google",1383720467.0,PanahonNgayon,Philippines,en,,'398099399924264960',,,
"""@liadcruz: PAGASA forecasters uneasy with Yolanda's strength, and how it will affect the Philippines.""",1383720467.0,AlfredWilliamP,Philippines,en,,'398099398116139008',Hong Kong,,28800
"Stare at your calm front yard now before Yolanda, the silent killer, ruins tomorrow. #ButIHopeNot",1383720472.0,thatgreenbowtie,Manila,en,,'398099419100237824',Hong Kong,,28800
Woww. Yolanda such a beautiful name for a day-wrecker,1383720473.0,calmyourwits,"Quezon City, Philippines",en,,'398099421985923072',Kuala Lumpur,,28800
"Hey, #YolandaPH ! We have a big God. :)",1383720474.0,iamzetroc,"Macabebe, Pampanga, PH",en,,'398099426855514114',Alaska,,-32400
"Super Storm Yolanda, will you just dissipate? You're threatening our lives. :( #pray",1383720474.0,heyzyphyrkyhts,"Paris, France",en,,'398099426285072384',Arizona,,-25200
"@Pontifex Pls pray for all the filipino people who will be affected by the super typhoon haiyan. our dearest pope, please pray for us.",1383720474.0,butterscorch16,Philippines,en,,'398099426201194496',Singapore,,28800
Yolanda behave!,1383720475.0,rhoannie,Iloilo,en,,'398099430596820992',Beijing,,28800
hello everyone...! Typhoon Yolanda daw.. #YolandaPH,1383720476.0,BrAnch___11,HongKong,en,,'398099435684495361',Hong Kong,,28800
ohhhah yolanda!!! pls dont add burdens in our life,1383720478.0,vetski24,philippines,en,,'398099443590782976',Alaska,,-32400
Please for more updates due to Typhoon Yolanda Updates on your Philippines.,1383720479.0,NickJrAsiaPR,Worldwide and International,en,,'398099449685102592',Beijing,,28800
"Early announcement of suspension of classes, then what? No typhoon at all tomorrow? Hahahahaha.",1383720481.0,Kiyaaalalala,Philippines,en,,'398099455477440513',Singapore,,28800
Worried  #YolandaPH,1383720487.0,annetonov_21,@ Dreamland,en,,'398099483948359680',Pacific Time (US & Canada),,-28800
@kguixians isnt the super typhoon whole phils or not? i dont rly listen to news..,1383720489.0,EnchantedKM15,IN YOUR BRAIN,en,,'398099491053522944',Hong Kong,,28800
"""@ANCALERTS: PAGASA: Some areas may experience signal # 4 http://t.co/ZhNRHRIrl8 #YolandaPH""Have faith :)",1383720491.0,itskathniel026,,en,,'398099499035283457',,,
Severe Typhoon Haiyan exploding in power on path towards Philippines http://t.co/rlqJ2J5eFK,1383720491.0,bingkayboo,"038, PH",en,,'398099499601518593',Hong Kong,,28800
"Goodnight everyone stay safe always remember that God is always beside us, stay strong &amp; always have faith in God :)#SuperTyphoon",1383720492.0,gargar_14,Dumagute City Philippines,en,,'398099504307519489',Beijing,,28800
wake me up when #YolandaPH ends,1383720493.0,missannepetite,Philippines,en,,'398099507721666561',Hong Kong,,28800
"People who seems not to care about the upcoming typhoon, stupid enough to exist",1383720494.0,Wengthoughts,,en,,'398099511010029568',Beijing,,28800
"Praying hard for Visayas, esp Samar and Leyte. Yolanda is one huge threat. Everyone, keep safe.",1383720494.0,arracharmaine88,Tacloban City,en,,'398099510120824832',Taipei,,28800
Let's all pray. It's definitely the best thing to do as of now. #YolandaPH,1383720496.0,thesuperjames,DLSU Manila,en,,'398099521642573824',Singapore,,28800
"Yes, Take it all away JESUS!!! I Love YOU LORD!!! \0/ Yolanda Adams - Take Away http://t.co/YQkO98tVWb",1383720499.0,HannahsPRAYER11,,en,,'398099533034688513',Central Time (US & Canada),,-21600
guess we're gonna be late to school cause YOLANDA LOCKED THE CAR!,1383720500.0,_natalieflores,"Dallas, TX",en,,'398099537039855616',Central Time (US & Canada),,-21600
@jinahruth @VincentPauIcao #selfie #super #typhoon #coming #getting #ready #keep #safe #night #love #u #guys,1383720502.0,einacorrine,,en,,'398099543679455232',Singapore,,28800
We should be prepare and  pray for our safety.. #SUPERTYPHOON #YOLANDA #SAMAR&amp;LEYTE,1383720505.0,Nolwennmetch,"Ormoc city,leyte",en,,'398099555675144192',,,
"What to do before, during, after a super typhoon http://t.co/YQMCABNJOt",1383720506.0,GalangApril,batangas,en,,'398099563242070016',,,
Bagyo!!! (@ eBloc Building) http://t.co/KVfVt7LGYp,1383720508.0,yehey_itsnikki,Philippines,en,10.33194965,'398099571299340288',Beijing,123.90870786,28800
@chuckthewhat @Zierlak Let's this weekend? (kung lumihis si aling Yolanda) I can bring the PS3 din if you wanna.,1383720509.0,jmstajuana,Rolling In Taguig,en,,'398099576286380032',Pacific Time (US & Canada),,-28800
Monitoring #YolandaPH via twitter feeds and FB. Praying for everyone's safety. #BeVigilant #StaySafe,1383720509.0,TheWingedImago,Utopia,en,,'398099573391908866',Singapore,,28800
"The country PH may be going thru crisis like pdaf, yolanda, quake, saudi crackdown - don't pass it all to the govt! May ginagawa ka ba? Pk U",1383720509.0,dRealMikoy,"Cebu City, Philippines",en,,'398099576009142273',Alaska,,-32400
All ready for the typhoon :) had fun at at the groceries today with @cydlings. :) #Happy #prepared #yolandPH #mademyday #wax #girlbonding,1383720510.0,babbykei,Philippines,en,,'398099577267429377',Alaska,,-32400
Big and Strong..Let us all be prepared and pray for everyone's safety..#Haiyan #YolandaPH http://t.co/dQPAng6jCo,1383720512.0,dylflx,"Davao City, Philippines",en,,'398099587409674240',,,
Typhoon Yolanda. SUPER TYPHOON.I don't want another Typhoon Pablo.It's just to traumatizing. :(,1383720513.0,fabulous_SoFiA,1Derland / Narnia,en,,'398099592157204480',Singapore,,28800
@Labyrinth_101 oh typhoon ??!!! God bless you and everyone! Stay safe!,1383720514.0,nanaakamars,MATO PLANET,en,,'398099596296978432',Kuala Lumpur,,28800
Pray tonight. Pray tomorrow. Just pray everyday and nothing will ever go wrong. #Yolanda,1383720514.0,wenaramirez,,en,,'398099595693019136',Beijing,,28800
Yolanda is coming...,1383720517.0,mardyon,,en,,'398099609702387712',,,
Let us keep each other safe and sound. #YolandaPH,1383720518.0,JesylGabrielle,,en,,'398099611497144320',Beijing,,28800
Vigilant and praying #YolandaPH,1383720519.0,pia4w,"San Jose, Occidental Mindoro",en,,'398099615917948928',,,
WHY YO LAND HERE AT VISAYAS YOLANDA? :((((((((((,1383720519.0,FrJaaakey,,en,,'398099617117515776',Beijing,,28800
Papa: I know there will be no school on Friday. :DMe: OH I WISH. =))Typhoon Yolanda pls.,1383720520.0,OurCheetahHeart,,en,,'398099622452670465',Alaska,,-32400
Yolanda is scaring me.,1383720522.0,salleyyortiz,Paradiso,en,,'398099630530887680',Alaska,,-32400
@SinceShirly: Eating and movies. What better way to welcome yolanda? #productiveday Thanks for today Pagolong sisters Hihi It was fun!,1383720523.0,BESbesas,Republic of the Philippines :),en,,'398099632741310465',Alaska,,-32400
@IZIALLIFIED bUT ONLY 5 DAYS OF NO CLASSES AND I MAY BE GONE BY TOMORROW OR FRIDAY BC YOLANDA,1383720524.0,katrenahhh,~definitely not outside~,en,,'398099639116632067',Beijing,,28800
Yolanda might be the strongest typhoon of the year!,1383720526.0,une_caii,Tagum City,en,7.42480698,'398099644447592449',,125.79495476,
I hope the typhoon isnt powerful as it was predicted....,1383720526.0,LukeZ_13,Philippines,en,,'398099643914924032',Beijing,,28800
We would like to inform everyone that due to the impending Super Typhoon Yolanda which is expected to arrive in... http://t.co/7DOEdOQEAO,1383720527.0,GourmetBitesDvo,"Davao City, Philippines",en,,'398099649711456256',Singapore,,28800
"@lancedeocampo: Typhoon Yolanda, have mercy tomorrow. Amen. ",1383720530.0,JennyAnnnne,Boysoverload's ,en,,'398099661447114752',Beijing,,28800
#Haiyan still intensifying.  Now 160 mph with automated sat estimates 175+ mph. Philippines in 36 hours. http://t.co/apD5bn59mM,1383720532.0,Wxmanms1,,en,,'398099672155189248',,,
Ready to face Supertyphoon #Yolanda. Bring it on! Haha,1383720533.0,Kramgerg89,Borongan City,en,,'398099675179266048',Alaska,,-32400
Yolanda be cool,1383720535.0,Wardstan,Cebu City,en,,'398099683035611136',Pacific Time (US & Canada),,-28800
Please stay safe. #YolandaPH,1383720536.0,annetonov_21,@ Dreamland,en,,'398099688034824192',Pacific Time (US & Canada),,-28800
Breaking News: Evacuation looms in Visayas amid super typhoon threat http://t.co/bQBk07UR5r,1383720537.0,BreakingNewsPH,Philippines,en,,'398099689855533056',Hong Kong,,28800
